group,FORMULA,STRUC_SPACEGROUP_SYM,STRUC_SPACEGROUP_NO,STRUC_CELL_LENGTH_A,STRUC_CELL_LENGTH_B,STRUC_CELL_LENGTH_C,STRUC_ALPHA,STRUC_BETA,STRUC_GAMMA,STRUC_VOLUME,COMP_ELEMENT_COUNT,COMP_PARSED FORMULA,OTHER_TEMPERATURE,OTHER_PRESSURE,OTHER_DENSITY,OTHER_DATABASE,LABEL_CTE CELL_LENGTH_A,LABEL_R^2 CELL_LENGTH_A,LABEL_CTE CELL_LENGTH_B,LABEL_R^2 CELL_LENGTH_B,LABEL_CTE CELL_LENGTH_C,LABEL_R^2 CELL_LENGTH_C,LABEL_CTE VOLUME,LABEL_R^2 VOLUME,LABEL_dir NTE,LABEL_dir NTE large,LABEL_vol NTE,LABEL_MAX CTE,LABEL_ABS MAX CTE,LABEL_MIN CTE,LABEL_ABS MIN CTE,LABEL_DEV CTE,COMP_FORMULA,COMP_oxides,COMP_carbonites,COMP_fluorides,COMP_cyonides,COMP_partly organic
Fe0.2Mn1.8O7.0Sr3.0 I4/mmm,Fe0.2Mn1.8O7Sr3,I4/mmm,139.0,0.3812,0.3812,2.01035,90.0,90.0,90.0,0.29213,4.0,Fe0.2Mn1.8O7.0Sr3.0,298.15,101.325,5.51,ICSD,5.805718538986257e-06,0.57695663144339,5.805718538986257e-06,0.57695663144339,3.540293009804964e-06,0.57695663144339,1.5013602766894949e-05,0.512232503251038,0,0,0,5.805718538986257e-06,5.805718538986257e-06,3.540293009804964e-06,3.540293009804964e-06,2.2654255291812927e-06,Fe0.2Mn1.8O7Sr3,1,0,0,0,1
Fe0.2Mn0.8Nb2.0O6.0 Pbcn,Fe0.2Mn0.8Nb2O6,Pbcn,60.0,1.4409,0.5761000000000001,0.50798,90.0,90.0,90.0,0.42168,4.0,Fe0.2Mn0.8Nb2.0O6.0,298.15,101.325,5.31,ICSD,2.8999053478413964e-06,0.9959768927070126,1.732286859218589e-06,0.9992460812490778,2.8025415014479533e-06,0.9992460812490778,7.473115406911117e-06,0.9998193883449688,0,0,0,2.8999053478413964e-06,2.8999053478413964e-06,1.732286859218589e-06,1.732286859218589e-06,1.1676184886228074e-06,Fe0.2Mn0.8Nb2O6,1,0,0,0,1
Fe0.2Mg1.8O4.0Si1.0 Pnma,Fe0.2Mg1.8O4Si,Pnma,62.0,1.02234,0.59924,0.47605,90.0,90.0,90.0,0.29164,4.0,Fe0.2Mg1.8O4.0Si1.0,298.0,101.325,3.35,PCD,1.4634474626061778e-05,0.9966644308074076,1.3905471082761024e-05,0.9984153208995248,9.743718889460543e-06,0.9984153208995248,3.834440218997403e-05,0.99745971129736,0,0,0,1.4634474626061778e-05,1.4634474626061778e-05,9.743718889460543e-06,9.743718889460543e-06,4.890755736601233e-06,Fe0.2Mg1.8O4Si1,1,0,0,0,1
Fe0.29La0.86O2.86Ti0.57 P121/c1,Fe0.286La0.857O2.857Ti0.571,P121/c1,14.0,0.78367,0.55561,0.52775,90.0,90.044,90.0,0.22979,4.0,Fe0.29La0.86O2.86Ti0.57,295.0,101.325,6.01,PCD,8.184097867119062e-06,0.945401544846138,5.498538505912329e-06,0.8062227511001127,5.204078247384277e-06,0.8062227511001127,1.879547981519337e-05,0.8926719632249092,0,0,0,8.184097867119062e-06,8.184097867119062e-06,5.204078247384277e-06,5.204078247384277e-06,2.9800196197347845e-06,Fe0.286La0.857O2.857Ti0.571,1,0,0,0,1
Fe0.25Ni0.75 Fm-3m,Fe0.25Ni0.75,Fm-3m,225.0,0.35578,0.35578,0.35578,90.0,90.0,90.0,0.045,2.0,Fe0.25Ni0.75,298.15,101.325,8.55,PCD,6.898805768536672e-06,0.9991616228424622,6.898805768536672e-06,0.9991616228424622,6.898805768536672e-06,0.9991616228424622,2.0983724936696185e-05,0.9984719252590668,0,0,0,6.898805768536672e-06,6.898805768536672e-06,6.898805768536672e-06,6.898805768536672e-06,0.0,Fe0.25Ni0.75,0,0,0,0,0
Fe0.25Mn0.25Nb0.5O3.0Pb1.0 Pm-3m,Fe0.25Mn0.25Nb0.5O3Pb1,Pm-3m,221.0,0.4013099999999999,0.4013099999999999,0.4013099999999999,90.0,90.0,90.0,0.0646299999999999,5.0,Fe0.25Mn0.25Nb0.5O3.0Pb1.0,295.0,101.325,8.46,ICSD,6.848857868627682e-06,0.8488172064724855,6.848857868627682e-06,0.8488172064724855,6.848857868627682e-06,0.8488172064724855,2.0829717968318705e-05,0.8359638574582068,0,0,0,6.848857868627682e-06,6.848857868627682e-06,6.848857868627682e-06,6.848857868627682e-06,0.0,Fe0.25Mn0.25Nb0.5O3Pb1,1,0,0,0,1
Fe0.25Mg0.75O3.0Si1.0 Pbca,Fe0.25Mg0.75O3Si,Pbca,61.0,0.51988,1.82747,0.88729,90.0,90.0,90.0,0.843,4.0,Fe0.25Mg0.75O3.0Si1.0,296.0,101.325,3.41,PCD,1.8746911151113712e-05,0.758196558813873,1.1149835800063127e-05,0.8982025096616457,1.274990836860288e-05,0.8982025096616457,4.262810893492307e-05,0.915941035908986,0,0,0,1.8746911151113712e-05,1.8746911151113712e-05,1.1149835800063127e-05,1.1149835800063127e-05,7.597075351050584e-06,Fe0.25Mg0.75O3Si,1,0,0,0,1
Fe0.25Li1.25O4.0Ti1.5 Fd-3m O2,Fe0.25Li1.25O4Ti1.5,Fd-3m O2,227.0,0.836,0.836,0.836,90.0,90.0,90.0,0.5843,4.0,Fe0.25Li1.25O4.0Ti1.5,298.15,101.325,3.6,PCD,1.551579189228387e-05,0.9931990650879764,1.551579189228387e-05,0.9931990650879764,1.551579189228387e-05,0.9931990650879764,4.657191455654168e-05,0.9937212859829884,0,0,0,1.551579189228387e-05,1.551579189228387e-05,1.551579189228387e-05,1.551579189228387e-05,0.0,Fe0.25Li1.25O4Ti1.5,1,0,0,0,1
Fe0.24Mg1.76O4.0Si1.0 Pnma,Fe0.24Mg1.76O4Si1,Pnma,62.0,1.023,0.596,0.474,90.0,90.0,90.0,0.289,4.0,Fe0.24Mg1.76O4.0Si1.0,298.0,101.325,3.41,ICSD,1.2622281150012028e-05,0.963665141272889,1.3435682865157958e-05,0.9062300737129972,3.8164137748148175e-06,0.9062300737129972,2.9892301406031543e-05,0.942419169104158,0,0,0,1.3435682865157958e-05,1.3435682865157958e-05,3.8164137748148175e-06,3.8164137748148175e-06,9.61926909034314e-06,Fe0.238Mg1.762O4Si1,1,0,0,0,1
Fe0.1Sn2.0Tm1.0 Cmcm,Fe0.1Sn2Tm1,Cmcm,63.0,0.4377,1.61,0.4311,90.0,90.0,90.0,0.30379,3.0,Fe0.1Sn2.0Tm1.0,298.15,101.325,9.01,ICSD,1.0441690946323702e-05,0.9569424689721324,2.9167834410084075e-05,0.9602540891284522,1.947955447238523e-05,0.9602540891284522,5.883833799703287e-05,0.9783353133073492,0,0,0,2.9167834410084075e-05,2.9167834410084075e-05,1.0441690946323702e-05,1.0441690946323702e-05,1.872614346376037e-05,Fe0.1Sn2Tm1,0,0,0,0,0
